NORAD_CAT_ID,OBJECT_NAME,EPOCH,BSTAR,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SOURCE_URL,RETRIEVED_AT
33942,COSMOS 2251 DEB,2026-08-25T18:39:05.234688,0.00012488506,74.037,163.1604,0.0020862,191.3021,197.9926,14.38277559,CelesTrak (Manual Download),20260826T042208Z
33944,COSMOS 2251 DEB,2026-08-25T21:36:20.119104,0.00014094181,74.0394,197.4482,0.01143269,235.1183,143.8717,14.37752529,CelesTrak (Manual Download),20260826T042208Z
33945,COSMOS 2251 DEB,2026-08-25T21:29:19.957632,7.1265012e-05,74.0291,196.828,0.00237221,226.5817,133.3361,14.34764935,CelesTrak (Manual Download),20260826T042208Z
33948,COSMOS 2251 DEB,2026-08-25T07:35:06.539424,0.0001082903,74.035,196.1101,0.00242021,215.9407,144.0119,14.35860611,CelesTrak (Manual Download),20260826T042208Z
33971,COSMOS 2251 DEB,2026-08-25T11:56:58.951392,0.00015395479,74.0252,140.8832,0.00190615,186.9151,347.6101,14.40104463,CelesTrak (Manual Download),20260826T042208Z
33972,COSMOS 2251 DEB,2026-08-25T21:40:17.179104,0.0010255109,73.993,77.8166,0.01213988,185.5877,239.1792,14.38530497,CelesTrak (Manual Download),20260826T042208Z
33973,COSMOS 2251 DEB,2026-08-25T09:11:28.519872,7.7796553e-05,74.0105,345.4782,0.00449178,102.7953,324.2923,14.45602468,CelesTrak (Manual Download),20260826T042208Z
33975,COSMOS 2251 DEB,2026-08-25T08:08:38.691744,0.00022959158,73.8032,355.005,0.01897598,83.5251,278.7448,14.00851724,CelesTrak (Manual Download),20260826T042208Z
33980,COSMOS 2251 DEB,2026-08-25T07:44:02.338656,0.00027946845,74.0187,291.6543,0.00290399,5.6394,74.4479,14.59995946,CelesTrak (Manual Download),20260826T042208Z
33982,COSMOS 2251 DEB,2026-08-25T17:38:35.488608,0.00019619072,74.0669,231.7335,0.0075215,211.4219,323.6488,14.61257702,CelesTrak (Manual Download),20260826T042208Z
33983,COSMOS 2251 DEB,2026-08-25T04:22:45.878880,0.00029842,74.0501,26.8827,0.0020218,62.9806,111.5725,14.51500219,CelesTrak (Manual Download),20260826T042208Z
33984,COSMOS 2251 DEB,2026-08-25T21:27:51.320736,0.00061922508,74.0059,211.5337,0.00238176,333.9059,48.0505,14.68419833,CelesTrak (Manual Download),20260826T042208Z
33986,COSMOS 2251 DEB,2026-08-25T15:09:11.251008,0.00039524,74.0352,186.9083,0.0042168,202.2556,333.0145,14.44198692,CelesTrak (Manual Download),20260826T042208Z
33990,COSMOS 2251 DEB,2026-08-25T09:41:15.157824,0.00034492366,73.9248,235.4446,0.04052956,208.5237,225.3891,13.50290765,CelesTrak (Manual Download),20260826T042208Z
33992,COSMOS 2251 DEB,2026-08-25T21:32:53.488320,0.00047462825,74.0217,202.7918,0.00547428,256.635,133.3535,14.6805416,CelesTrak (Manual Download),20260826T042208Z
33994,COSMOS 2251 DEB,2026-08-25T21:20:59.178912,6.2840363e-05,74.0414,76.3284,0.00226092,151.6187,271.3416,14.41359558,CelesTrak (Manual Download),20260826T042208Z
33995,COSMOS 2251 DEB,2026-08-25T09:12:49.864608,0.00044248116,74.0614,11.182,0.00607221,322.1971,37.4924,14.35827442,CelesTrak (Manual Download),20260826T042208Z
33999,COSMOS 2251 DEB,2026-08-25T12:38:59.707680,0.00071859523,73.9139,78.0898,0.00403549,268.8798,90.7759,14.8899776,CelesTrak (Manual Download),20260826T042208Z
34001,COSMOS 2251 DEB,2026-08-25T06:19:10.541280,0.00011945,74.0392,171.6313,0.0020716,197.5559,313.8846,14.37333733,CelesTrak (Manual Download),20260826T042208Z
34003,COSMOS 2251 DEB,2026-08-25T07:58:41.329056,0.00087219207,74.0755,214.4897,0.02782863,267.2506,89.6742,13.85081192,CelesTrak (Manual Download),20260826T042208Z
34004,COSMOS 2251 DEB,2026-08-25T07:55:01.483392,0.00069791976,74.0334,192.9877,0.00297134,151.9112,208.366,14.50907686,CelesTrak (Manual Download),20260826T042208Z
34005,COSMOS 2251 DEB,2026-08-25T23:22:38.154144,7.2698433e-05,74.0438,100.1586,0.0020144,160.3666,264.9122,14.40473418,CelesTrak (Manual Download),20260826T042208Z
34006,COSMOS 2251 DEB,2026-08-25T08:29:55.442688,0.0030956501,74.0562,338.2266,0.00020914,338.2165,95.0116,15.20982546,CelesTrak (Manual Download),20260826T042208Z
34007,COSMOS 2251 DEB,2026-08-25T09:08:19.872384,0.00050007283,74.0163,214.0136,0.004773,283.2221,76.3626,14.66473769,CelesTrak (Manual Download),20260826T042208Z
34008,COSMOS 2251 DEB,2026-08-25T09:22:27.083136,6.9269834e-05,74.0321,223.2483,0.00230176,162.6464,269.3165,14.3328868,CelesTrak (Manual Download),20260826T042208Z
34009,COSMOS 2251 DEB,2026-08-25T09:02:32.978976,8.4753545e-05,74.0346,229.7007,0.00287626,241.0101,240.6902,14.3339224,CelesTrak (Manual Download),20260826T042208Z
34011,COSMOS 2251 DEB,2026-08-25T07:55:39.579744,0.00055099533,74.0117,215.3412,0.00399359,242.3194,117.3908,14.42921685,CelesTrak (Manual Download),20260826T042208Z
34014,COSMOS 2251 DEB,2026-08-25T17:44:19.677696,0.00048415659,74.0167,140.1003,0.00392231,216.6053,174.5728,14.7573777,CelesTrak (Manual Download),20260826T042208Z
34015,COSMOS 2251 DEB,2026-08-25T09:50:01.162752,0.00074881015,74.0239,30.289,0.00209191,62.6737,326.9461,14.61938764,CelesTrak (Manual Download),20260826T042208Z
34018,COSMOS 2251 DEB,2026-08-25T09:23:41.936640,0.00014617639,73.8781,18.7105,0.02653445,7.4082,22.0962,13.81352785,CelesTrak (Manual Download),20260826T042208Z
34019,COSMOS 2251 DEB,2026-08-25T14:35:00.597120,0.00034736,73.9528,299.7984,0.0059987,60.4414,90.8125,14.34809855,CelesTrak (Manual Download),20260826T042208Z
34021,COSMOS 2251 DEB,2026-08-25T15:40:11.883648,0.00025858332,74.0372,8.9915,0.00192578,87.5283,285.5937,14.50645307,CelesTrak (Manual Download),20260826T042208Z
34022,COSMOS 2251 DEB,2026-08-25T04:57:45.459360,0.0001302,74.0547,159.9367,0.0022198,168.0696,343.147,14.39263807,CelesTrak (Manual Download),20260826T042208Z
34023,COSMOS 2251 DEB,2026-08-25T04:52:51.047904,0.00018443,74.025,138.7661,0.001881,180.2586,341.4214,14.41011213,CelesTrak (Manual Download),20260826T042208Z
34024,COSMOS 2251 DEB,2026-08-25T21:48:05.863680,0.00010772602,74.0452,206.3716,0.0021793,201.9177,188.2604,14.35627265,CelesTrak (Manual Download),20260826T042208Z
34026,COSMOS 2251 DEB,2026-08-24T09:31:48.817056,0.00043557767,73.7653,273.6853,0.03444418,104.1027,274.5968,13.65765502,CelesTrak (Manual Download),20260826T042208Z
34028,COSMOS 2251 DEB,2026-08-25T07:31:19.315200,5.6412143e-05,73.8837,315.301,0.05447068,50.0624,12.0474,13.2081627,CelesTrak (Manual Download),20260826T042208Z
34031,COSMOS 2251 DEB,2026-08-25T09:08:34.924992,0.00067688977,74.0138,6.4128,0.00225443,60.8558,329.6104,14.61921494,CelesTrak (Manual Download),20260826T042208Z
34035,COSMOS 2251 DEB,2026-08-25T10:54:26.119872,0.00074817799,74.0616,227.0502,0.00403551,172.5606,344.0085,14.54550198,CelesTrak (Manual Download),20260826T042208Z
34036,COSMOS 2251 DEB,2026-08-25T08:42:53.688096,0.0037365234,74.0032,342.1574,0.00129562,340.3057,19.7639,15.22869978,CelesTrak (Manual Download),20260826T042208Z
34037,COSMOS 2251 DEB,2026-08-25T07:13:13.163520,0.0002562005,74.051,302.4049,0.00551932,289.9488,69.5724,14.35324651,CelesTrak (Manual Download),20260826T042208Z
34040,COSMOS 2251 DEB,2026-08-25T14:44:10.235040,0.0014277,73.9587,2.7518,0.0336588,265.9209,90.3378,13.69177934,CelesTrak (Manual Download),20260826T042208Z
34045,COSMOS 2251 DEB,2026-08-25T21:04:24.604320,5.3245982e-05,74.038,202.1152,0.00274098,227.4252,153.1811,14.34181957,CelesTrak (Manual Download),20260826T042208Z
34046,COSMOS 2251 DEB,2026-08-25T00:26:04.596864,0.0004925026,74.0352,252.936,0.00789003,273.9739,113.4389,14.4842859,CelesTrak (Manual Download),20260826T042208Z
34050,COSMOS 2251 DEB,2026-08-25T03:16:24.148704,0.00047749113,74.0869,291.6782,0.02193595,294.8679,92.5921,13.96740639,CelesTrak (Manual Download),20260826T042208Z
34053,COSMOS 2251 DEB,2026-08-25T20:05:51.296064,0.00031186485,73.8443,189.3336,0.042407,295.2442,60.5278,13.49406169,CelesTrak (Manual Download),20260826T042208Z
34056,COSMOS 2251 DEB,2026-08-25T17:38:08.920608,0.00076087607,74.0591,337.9639,0.0126374,324.4824,198.4444,14.21972006,CelesTrak (Manual Download),20260826T042208Z
34058,COSMOS 2251 DEB,2026-08-25T03:55:36.013728,0.00049596768,73.9322,123.9894,0.03776138,70.7674,94.7519,13.5634993,CelesTrak (Manual Download),20260826T042208Z
34059,COSMOS 2251 DEB,2026-08-25T12:36:30.130272,0.00039079087,74.0359,63.1455,0.00176443,77.5355,313.9301,14.54211468,CelesTrak (Manual Download),20260826T042208Z
34061,COSMOS 2251 DEB,2026-08-25T05:39:47.972160,0.00018876,74.0397,150.9189,0.0020406,172.6604,342.1781,14.40805091,CelesTrak (Manual Download),20260826T042208Z
34062,COSMOS 2251 DEB,2026-08-25T08:39:11.989152,0.0009861374,74.0273,351.9981,0.00681705,4.8773,66.0891,14.85751996,CelesTrak (Manual Download),20260826T042208Z
34064,COSMOS 2251 DEB,2026-08-25T13:23:11.281344,0.0002483,74.0327,155.9506,0.0022062,167.4997,7.549,14.43066831,CelesTrak (Manual Download),20260826T042208Z
34065,COSMOS 2251 DEB,2026-08-25T12:50:07.643616,8.9861391e-05,74.0363,146.8603,0.00167939,190.3261,344.6961,14.38279006,CelesTrak (Manual Download),20260826T042208Z
34070,COSMOS 2251 DEB,2026-08-25T07:08:54.081888,0.0013567602,74.0005,330.9171,0.0019437,16.7956,48.6421,14.84112691,CelesTrak (Manual Download),20260826T042208Z
34114,COSMOS 2251 DEB,2026-08-25T14:03:36.206208,0.0009808,74.0563,277.0882,0.0043616,216.0275,305.1197,14.60720671,CelesTrak (Manual Download),20260826T042208Z
34115,COSMOS 2251 DEB,2026-08-25T14:24:47.490624,0.00057788,74.0042,95.7417,0.0030118,213.0118,146.9181,14.83200979,CelesTrak (Manual Download),20260826T042208Z
34116,COSMOS 2251 DEB,2026-08-25T21:36:29.373408,0.00045735798,74.0387,58.9349,0.00112068,74.0454,355.1477,14.5438359,CelesTrak (Manual Download),20260826T042208Z
